,Fecha,evapotranspiration,gross_primary_productivity,EMA 1,EMA 2,Evento extremo
0,2001-01-05,4.023,5.12,4.0229997634887695,5.119999885559082,0
1,2001-01-13,3.901,5.46,3.955899906158447,5.306999969482422,0
2,2001-01-21,2.502,7.811,3.371441841917576,6.313591291738112,0
3,2001-01-29,3.6529999,5.561,3.4642026701185964,6.0656459496753055,0
4,2001-02-06,2.66,6.217,3.233337980474094,6.109095583261035,0
5,2001-02-14,3.094,5.67,3.1971471202141646,5.9950473129443616,0
6,2001-02-22,3.907,6.186,3.3681931643927943,6.041059208518435,0
7,2001-03-02,3.234,6.357,3.3376635654031652,6.112937232545846,0
8,2001-03-10,3.317,5.796,3.3331678775890365,6.043982782559978,0
9,2001-03-18,2.872,6.384,3.236296717398589,6.115405458426436,0
10,2001-03-26,3.432,7.309,3.2762764353874703,6.359241904137657,0
11,2001-04-03,3.45,6.277,3.310986095174765,6.342810112302137,0
12,2001-04-11,2.378,5.758,3.1278696171779172,6.228029849354863,0
13,2001-04-19,3.476,6.283,3.195223583692505,6.238665107304543,0
14,2001-04-27,2.862,6.659,3.1314964477991816,6.319051772934971,0
15,2001-05-05,2.706,6.585,3.050882547292681,6.369437931549112,0
16,2001-05-13,2.785,5.277,3.0008908084011097,6.164035612012507,0
17,2001-05-21,2.746,4.874,2.953261234075992,5.922976091616878,0
18,2001-05-29,2.254,5.055,2.8232512217155503,5.761597781326642,0
19,2001-06-06,2.385,5.182,2.742102696383292,5.654276936831323,0
20,2001-06-14,2.152,5.364,2.633201085083475,5.600707209538487,0
21,2001-06-22,2.288,5.153,2.569668686772759,5.518309063795141,0
22,2001-06-30,2.231,5.354,2.507476980802522,5.488136053777786,0
23,2001-07-08,2.3799999,4.847,2.4841100924789195,5.3706141525525375,0
24,2001-07-16,2.4819999,6.17,2.4837238572524623,5.516926500393188,0
25,2001-07-24,2.987,5.44,2.575727377886503,5.502863636765192,0
26,2001-08-01,1.79,5.547,2.4322313672273697,5.510924170312667,0
27,2001-08-09,2.0609999,5.303,2.364488889378585,5.472982076424769,0
28,2001-08-17,2.575,6.453,2.4028776307158406,5.651697815356848,0
29,2001-08-25,3.516,5.531,2.6057563907166994,5.629699340422147,0
30,2001-09-02,3.592,6.793,2.785430545121882,5.841629839639248,0
31,2001-09-10,3.256,7.239,2.871128003215576,6.096110969758823,0
32,2001-09-18,3.856,5.139,3.050434212303552,5.921858924341411,0
33,2001-09-26,3.392,6.974,3.1126047583720844,6.113365784275129,0
34,2001-10-04,4.39,6.319,3.345065473061983,6.150787113318649,1
35,2001-10-12,4.139,6.583,3.4895224708342027,6.22942861981669,0
36,2001-10-20,3.1,5.891,3.418657931619023,6.167859394105209,0
37,2001-10-28,3.611,6.968,3.453646297226311,6.3134105007310755,0
38,2001-11-05,3.48,6.808,3.4584397963727893,6.403371788814904,0
39,2001-11-13,2.963,5.917,3.368330415995511,6.314911631649617,0
40,2001-11-21,3.658,5.711,3.4210116883415953,6.205080163165085,0
41,2001-11-29,2.92,6.149,3.329898748733232,6.194881570749631,0
42,2001-12-07,2.9259999,5.841,3.256449452727175,6.1305279704828415,0
43,2001-12-15,2.526,5.663,3.123621026063998,6.045510462061559,0
44,2001-12-23,3.038,6.73,3.108051721919247,6.169978012632927,0
45,2001-12-31,3.114,7.034,3.1091333479034438,6.327088296914067,0
46,2002-01-05,3.552,4.963,3.1896610205594365,6.079052328499131,0
47,2002-01-13,3.399,5.058,3.227725136714316,5.893394290523431,0
48,2002-01-21,2.87,6.317,3.1626806917484696,5.97041762745985,0
49,2002-01-29,2.0839999,7.055,2.966548295635979,6.167623049106137,1
50,2002-02-06,3.077,6.769,2.9866311273989825,6.276968250337387,0
51,2002-02-14,3.941,5.743,3.1601578376724184,6.179880266102516,0
52,2002-02-22,3.14,7.134,3.15649270721963,6.353360720942172,0
53,2002-03-02,3.022,6.505,3.132039020150536,6.380932062196001,0
54,2002-03-10,2.728,5.493,3.058576184079606,6.219487275868958,0
55,2002-03-18,2.09,6.578,2.8824690883784125,6.284672278508764,0
56,2002-03-26,3.792,7.235,3.0478401370600214,6.457461023133124,0
57,2002-04-03,2.782,7.722,2.9995051523372456,6.687379249984044,0
58,2002-04-11,3.284,7.469,3.0512318468357296,6.829493113777622,0
59,2002-04-19,3.688,7.932,3.167008551393529,7.029950123473731,0
60,2002-04-27,3.033,6.066,3.1426432411886793,6.854685615568622,0
61,2002-05-05,3.048,6.603,3.125435328855042,6.808924443585214,0
62,2002-05-13,1.952,6.196,2.9120827652066996,6.697483293459897,0
63,2002-05-21,2.231,6.134,2.788249197947039,6.595031482691356,0
64,2002-05-29,2.559,5.555,2.7465674381719083,6.405934409075118,0
65,2002-06-06,2.714,5.424,2.7406460728658857,6.227400525223054,0
66,2002-06-14,1.9,5.031,2.587801106603942,6.009872866866482,0
67,2002-06-22,1.784,4.715,2.4416552847563837,5.774441185239053,0
68,2002-06-30,1.83,4.29,2.3304451329446825,5.504542519266023,0
69,2002-07-08,1.91,5.077,2.2540004965989935,5.426807479751276,0
70,2002-07-16,2.227,5.205,2.249091311865644,5.386478807018696,0
71,2002-07-24,2.901,5.823,2.367620231367507,5.465846330481848,0
72,2002-08-01,1.829,5.134,2.2696892369605366,5.405510575907115,0
73,2002-08-09,2.086,5.685,2.2362911757602646,5.456326842496529,0
74,2002-08-17,1.932,6.082,2.180965498802232,5.570085591270429,0
75,2002-08-25,3.707,6.305,2.458426386360107,5.7037063934489245,0
76,2002-09-02,3.255,7.5820003,2.6032580014871853,6.045214434885118,0
