CodDependencia,Dependencia,Tipo de Inversión,CodBPIN,Nombre_proy_Ajustado,Comuna,NomComuna,Inversion,Año,Corte,Codigo Dependencia,Nombre Proyecto,Nombre Comuna
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,3.0,Manrique,"45,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50061.0,PP FORTALECIMENTO Y ASISTENCIA A LOS DERECHOS HUMANOS,2.0,Santa Cruz,"5,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,2.0,Santa Cruz,"158,860,410",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40200.0,Trabajo Con Población Reincidente,8.0,Villa Hermosa,"3,481,005",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40049.0,Ciudadanía De La Noche,9.0,Buenos Aires,"21,500,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60033.0,PP- ACOMPAÑAMIENTO A POBLACIÓN REINCIDENTE,1.0,Popular,"2,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40048.0,Guias Ciduadanos,5.0,Castilla,"108,479,420",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50078.0,PP APOYO INSTITUCIONAL A LA CONVIVENCIA,2.0,Santa Cruz,"38,570,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,60.0,San Cristobal,"15,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50043.0,PP - APOYO AL FUNCIONAMIENTO CENTROS DE CONCILIACIÓN,60.0,San Cristobal,"16,110,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,70039.0,PP INTERVENCIÓN EN CÁRCELES,1.0,Popular,"3,072,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",80.0,San Antonio de Prado,"15,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40341.0,Fortalecimiento Y Asistencia A Derechos Humanos,14.0,El Poblado,"11,637,142",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40198.0,Intervención Social En Las Cárceles,14.0,El Poblado,"45,116,810",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40342.0,Organizacion Y Capacitación De Vigilantes Informales,14.0,El Poblado,"39,764,208",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60031.0,PP CIUDADANIA DE LA NOCHE,80.0,San Antonio de Prado,"21,450,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,60031.0,PP CIUDADANIA DE LA NOCHE,1.0,Popular,"75,140,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50080.0,PP MANUAL DE CONVIVENCIA,2.0,Santa Cruz,"15,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,50083.0,Casa De Justicia,2.0,Santa Cruz,"100,000,000",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,0.0,40352.0,Diseño E Implementación De Una Estrategia De Desmovilizaión,14.0,El Poblado,"58,281,199",2008.0,31-Dic-2008,,,
201.0,Secretaría de Gobierno y Gestión del Gabinete,1.0,50084.0,"PP Apoyo a la modernizacion, fortalecimiento y transformacion de los organimos de",2.0,Santa Cruz,"60,000,000",2008.0,31-Dic-2008,,,
